id,name,category,price,supplier
1,Nexon X15,laptop,6642.81,TechSource Shenzhen
2,Nexon X13 Air,laptop,2796.57,TechSource Shenzhen
3,Aurix ProBook 14,laptop,4361.68,Nordic Components
4,Velar Slim 17,laptop,4037.3,Quantix Electronics
5,Pixelon P9 Pro,smartphone,5071.67,BlueWave Manufacturing
6,Pixelon P9 Lite,smartphone,4747.71,BlueWave Manufacturing
7,Nexon Tab S8,tablet,3837.72,TechSource Shenzhen
8,Aurix View 27Q,monitor,878.2,Nordic Components
9,SonicWave ANC 700,headphones,863.51,Iberia Digital
10,Velar Watch 2,smartwatch,543.17,Quantix Electronics
11,PrimeLink AX6 Router,router,309.29,PrimeTech Ltd
12,Nexon X15 Creator,laptop,5803.52,TechSource Shenzhen
13,Velar Mini 25,laptop,6554.23,Iberia Digital
14,Aurix One 21,monitor,1418.03,TechSource Shenzhen
15,PrimeLink Core 13,router,336.74,Nordic Components
16,Quantix Max 5,router,416.34,Quantix Electronics
17,Quantix Ultra 11,router,749.56,PrimeTech Ltd
18,Aurix Core 5,monitor,2321.73,PrimeTech Ltd
19,Iberia Ultra 9,headphones,1312.54,TechSource Shenzhen
20,Velar Plus 5,smartwatch,2281.7,TechSource Shenzhen
21,Velar One 23,monitor,3252.56,Nordic Components
22,Pixelon Mini 24,tablet,1634.42,PrimeTech Ltd
23,Velar Ultra 23,smartwatch,776.51,PrimeTech Ltd
24,Pixelon One 15,smartphone,2411.71,PrimeTech Ltd
25,Velar Edge 29,smartwatch,2090.29,TechSource Shenzhen
26,Pixelon Edge 15,smartphone,2399.35,Nordic Components
27,Iberia Mini 23,headphones,973.73,PrimeTech Ltd
28,Aurix Plus 7,monitor,1313.87,Iberia Digital
29,Iberia Ultra 16,headphones,1631.41,BlueWave Manufacturing
30,Nexon SE 19,tablet,2427.31,TechSource Shenzhen
31,PrimeLink SE 23,router,244.79,PrimeTech Ltd
32,Aurix Core 15,monitor,2466.43,BlueWave Manufacturing
33,Iberia Go 3,headphones,1272.47,TechSource Shenzhen
34,Pixelon Edge 6,smartwatch,1045.7,Nordic Components
35,Aurix Plus 19,monitor,3014.48,Iberia Digital
36,Velar Plus 29,laptop,6480.96,Iberia Digital
37,Pixelon Edge 27,smartphone,1804.67,Iberia Digital
38,Velar Edge 18,laptop,2330.49,Quantix Electronics
39,Quantix Mini 4,router,307.88,Iberia Digital
40,Nexon One 29,laptop,2663.72,Iberia Digital
41,PrimeLink SE 24,router,490.72,Iberia Digital
42,Nexon Go 22,smartphone,3269.57,Nordic Components
43,SonicWave Plus 15,headphones,1792.0,PrimeTech Ltd
44,Pixelon Go 17,tablet,1123.51,Nordic Components
45,Aurix Neo 21,laptop,5911.27,Iberia Digital
46,Pixelon Max 25,smartphone,4434.18,Nordic Components
47,Nexon Edge 5,laptop,5644.85,Quantix Electronics
48,Pixelon Mini 20,smartwatch,691.09,Iberia Digital
49,Iberia Mini 28,headphones,930.41,BlueWave Manufacturing
50,Pixelon Max 24,smartphone,3313.89,BlueWave Manufacturing
51,Velar Neo 24,monitor,2656.4,PrimeTech Ltd
52,Nexon Core 26,laptop,4473.33,TechSource Shenzhen
53,Aurix Core 8,monitor,1419.2,Nordic Components
54,PrimeLink One 28,router,791.85,Iberia Digital
55,Nexon Go 29,laptop,2298.88,TechSource Shenzhen
56,PrimeLink SE 16,router,498.8,Nordic Components
57,Quantix Neo 8,router,415.6,BlueWave Manufacturing
58,Pixelon Plus 16,tablet,3138.07,PrimeTech Ltd
59,Quantix SE 9,router,351.43,TechSource Shenzhen
60,SonicWave Edge 4,headphones,232.73,BlueWave Manufacturing
